link,full_name,price,year,mileage_km,fuel_type,location
https://www.autovit.ro/autoturisme/anunt/renault-megane-iii-coupe-1-5-dci-color-edition-ID7HuqQ6.html,Renault Megane III Coupe 1.5 dCi Color Edition,5 489,2010,230 000 km,Diesel,Bucuresti (Bucuresti)
https://www.autovit.ro/autoturisme/anunt/volkswagen-golf-1-2-tsi-bmt-comfortline-ID7HuuGl.html,Volkswagen Golf 1.2 TSI BMT Comfortline,4 900,2011,179 000 km,Benzina,Cluj-Napoca (Cluj)
https://www.autovit.ro/autoturisme/anunt/mazda-6-cd150-at-challenge-ID7HuqMG.html,Mazda 6 CD150 AT Challenge,8 489,2015,180 000 km,Diesel,Bucuresti (Bucuresti)
https://www.autovit.ro/autoturisme/anunt/peugeot-3008-hybrid4-88g-85g-ID7Husn0.html,Peugeot 3008 Hybrid4 88g/85g,7 789,2013,229 000 km,Hibrid,Cluj-Napoca (Cluj)
https://www.autovit.ro/autoturisme/anunt/ford-kuga-2-0-tdci-4wd-titanium-ID7HtXUe.html,Ford Kuga 2.0 TDCi 4WD Titanium,13 999,2017,170 000 km,Diesel,Iasi (Iasi)
https://www.autovit.ro/autoturisme/anunt/audi-a7-3-0-tdi-quattro-s-tronic-ID7HuqKf.html,Audi A7 3.0 TDI Quattro S-Tronic,13 990,2011,190 000 km,Diesel,Bucuresti (Bucuresti)
https://www.autovit.ro/autoturisme/anunt/ford-ecosport-1-0-ecoboost-titanium-ID7HuqXu.html,Ford EcoSport 1.0 Ecoboost Titanium,9 989,2021,150 000 km,Benzina,Bucuresti (Bucuresti)
https://www.autovit.ro/autoturisme/anunt/hyundai-ix35-ID7HutFH.html,Hyundai ix35,10 500,2014,202 000 km,Benzina,Arad (Arad)
https://www.autovit.ro/autoturisme/anunt/volkswagen-touareg-3-0-v6-tdi-bmt-ID7Hunqi.html,Volkswagen Touareg 3.0 V6 TDI BMT,16 900,2015,193 352 km,Diesel,Cluj-Napoca (Cluj)
https://www.autovit.ro/autoturisme/anunt/opel-insignia-grand-sport-1-5-turbo-start-stop-dynamic-ID7HurYy.html,Opel Insignia Grand Sport 1.5 Turbo Start/Stop Dynamic,13 250,2019,93 513 km,Benzina,Otopeni (Ilfov)
https://www.autovit.ro/autoturisme/anunt/skoda-octavia-1-5-tsi-dsg-ambition-ID7Hus3i.html,Skoda Octavia 1.5 TSI DSG Ambition,14 950,2019,117 380 km,Benzina,Otopeni (Ilfov)
https://www.autovit.ro/autoturisme/anunt/mercedes-benz-c-ID7HunqX.html,Mercedes-Benz C,19 990,2016,78 000 km,Benzina,Chiajna (Ilfov)
https://www.autovit.ro/autoturisme/anunt/ford-focus-1-5-ecoblue-titanium-business-ID7HuqS3.html,Ford Focus 1.5 EcoBlue Titanium Business,11 489,2020,170 000 km,Diesel,Bucuresti (Bucuresti)
https://www.autovit.ro/autoturisme/anunt/ford-focus-1-5-ecoblue-titanium-business-ID7HuqSt.html,Ford Focus 1.5 EcoBlue Titanium Business,11 989,2020,120 000 km,Diesel,Bucuresti (Bucuresti)
https://www.autovit.ro/autoturisme/anunt/bmw-seria-5-530e-ID7Huq4v.html,BMW Seria 5 530e,19 990,2019,194 277 km,Hibrid Plug-In,Oradea (Bihor)
https://www.autovit.ro/autoturisme/anunt/renault-megane-tce-business-ID7Hus8x.html,Renault Megane TCe Business,11 950,2019,86 637 km,Benzina,Otopeni (Ilfov)
https://www.autovit.ro/autoturisme/anunt/volkswagen-t-roc-ID7HuoV2.html,Volkswagen T-ROC,16 290,2020,124 988 km,Diesel,Tunari (Ilfov)
https://www.autovit.ro/autoturisme/anunt/ford-ecosport-1-0-ecoboost-titanium-ID7HuqXJ.html,Ford EcoSport 1.0 Ecoboost Titanium,9 989,2021,140 000 km,Benzina,Bucuresti (Bucuresti)
https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-320i-xdrive-aut-edition-luxury-line-purity-ID7Huqco.html,BMW Seria 3 320i xDrive Aut. Edition Luxury Line Purity,11 499,2013,197 000 km,Benzina,Cluj-Napoca (Cluj)
https://www.autovit.ro/autoturisme/anunt/land-rover-range-rover-evoque-ID7HtGjc.html,Land Rover Range Rover Evoque,14 989,2016,130 000 km,Diesel,Bucuresti (Bucuresti)
https://www.autovit.ro/autoturisme/anunt/opel-zafira-ID7Huq6U.html,Opel Zafira,3 890,2010,171 000 km,Diesel,Moinesti (Bacau)
https://www.autovit.ro/autoturisme/anunt/peugeot-308-puretech-130-eat6-stop-start-gt-line-edition-ID7Hurw4.html,Peugeot 308 PureTech 130 EAT6 Stop & Start GT-Line Edition,9 990,2017,111 000 km,Benzina,Pitesti (Arges)
https://www.autovit.ro/autoturisme/anunt/seat-ibiza-ID7HnvDQ.html,Seat Ibiza,4 200,2012,113 000 km,Benzina,Carani (Timis)
https://www.autovit.ro/autoturisme/anunt/nissan-qashqai-ID7HrCYO.html,Nissan Qashqai,8 400,2011,239 000 km,Diesel,Carani (Timis)
https://www.autovit.ro/autoturisme/anunt/mitsubishi-asx-1-8-di-d-2wd-diamant-edition-ID7HkO1f.html,Mitsubishi ASX 1.8 DI-D 2WD Diamant Edition,12 000,2016,201 000 km,Diesel,Arad (Arad)
https://www.autovit.ro/autoturisme/anunt/audi-a4-avant-2-0-tdi-dpf-quattro-s-tronic-s-line-sportpaket-ID7HiJxV.html,Audi A4 Avant 2.0 TDI DPF quattro S tronic S line Sportpaket,11 800,2014,213 000 km,Diesel,Arad (Arad)
https://www.autovit.ro/autoturisme/anunt/mazda-cx-5-ID7Hr0uN.html,Mazda CX-5,11 500,2013,205 000 km,Diesel,Arad (Arad)
https://www.autovit.ro/autoturisme/anunt/volkswagen-passat-variant-2-0-tdi-bluemotion-technology-dsg-highline-ID7HeYIz.html,Volkswagen Passat Variant 2.0 TDI BlueMotion Technology DSG Highline,9 250,2013,210 000 km,Diesel,Arad (Arad)
https://www.autovit.ro/autoturisme/anunt/peugeot-3008-hybrid4-88g-85g-ID7Husn0.html,Peugeot 3008 Hybrid4 88g/85g,7 789,2013,229 000 km,Hibrid,Cluj-Napoca (Cluj)
https://www.autovit.ro/autoturisme/anunt/bmw-x1-xdrive20d-aut-ID7HqZWZ.html,BMW X1 xDrive20d Aut.,8 990,2010,224 000 km,Diesel,Sacalaz (Timis)
https://www.autovit.ro/autoturisme/anunt/volkswagen-golf-1-2-tsi-bluemotion-technology-match-ID7HpZkB.html,Volkswagen Golf 1.2 TSI BlueMotion Technology MATCH,5 699,2012,215 000 km,Benzina,Sacalaz (Timis)
https://www.autovit.ro/autoturisme/anunt/renault-megane-blue-dci-116-edc-zen-ID7HusfL.html,Renault Megane Blue dCi 116 EDC Zen,13 078,2019,146 532 km,Diesel,Galati (Galati)
https://www.autovit.ro/autoturisme/anunt/ford-focus-ID7HreiK.html,Ford Focus,7 150,2018,134 000 km,Benzina,Bucuresti (Bucuresti)
https://www.autovit.ro/autoturisme/anunt/bmw-x3-sdrive18d-at-mhev-ID7HqUe1.html,BMW X3 sDrive18d AT MHEV,15 000,2015,249 000 km,Diesel,Arad (Arad)
https://www.autovit.ro/autoturisme/anunt/toyota-corolla-2-0-hybrid-lounge-ID7HrH9d.html,Toyota Corolla 2.0 Hybrid Lounge,19 489,2020,130 343 km,Hibrid,Uricani (Iasi)
